category,category_description,item_name,item_description,price,size1,price1,size2,price2,size3,price3,size4,price4
Lunch Time,,Make Your Own Lunch Combo,"Choose One: Tostada | Burrito | Chile Poblano | Enchilada | Hard Taco | Quesadilla | Chalupa. *Chile Poblano stuffed with cheese only. Protein Options: Ground beef, shredded beef birria, shredded chicken tinga, beans or cheese.",$8,,,,,,,,
Lunch Time,,Burrito Grande,"Flour tortilla filled with grilled chicken, beef, rice and beans. Topped with cheese and ranchero sauce.",$10.50,,,,,,,,
Lunch Time,,Special Rice,"Rice topped with your choice of protein, grilled bell peppers and our delicious cheese sauce.",,Chicken,$8.50,Pastor,$8.50,Steak,$9.50,Shrimp,$10.50
Lunch Time,,Fajita Quesadilla,"Flour tortilla with cheese, choice of protein, grilled onions and bell peppers. Served with rice.",,Steak,$9.50,Chicken,$8.50,Shrimp,$10.50,,
Lunch Time,,Chimichanga,"Fried or soft tortilla, shredded beef or chicken tinga, and cheese sauce. Side of rice or beans and crema salad.",$9.50,,,,,,,,
Lunch Time,,Chilaquiles,"Fried tortilla strips cooked with salsa verde or salsa rojo, garnished with red onions, cilantro, crema, Cotija cheese and avocado on a bed of beans.",,Fried Eggs*,$14,Grilled Chicken,$16,Steak,$17,,
Lunch Time,,Lunch Fajita*,Choice of protein with grilled onions and bell peppers. Served with rice and beans.,,Chicken,$11,Steak,$12,Shrimp,$13,,
Lunch Time,,Maria's Bowl*,"Served with black beans, grilled corn, pico de gallo, pickled onions, crema, Cotija cheese, guacamole and rice.",,Grilled Chicken,$10.50,Steak,$11.50,,,,
Lunch Time,,Huevos Al Gusto,"Divorciados, Rancheros, A La Mexicana or Con Chorizo. Served with rice, beans and tortillas.",$11.50,,,,,,,,
Lunch Time,,Notice,"*Cooked to order. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions.",,,,,,,,,
Appetizers,,Calamari,"Delicious fried calamari topped with chipotle cream sauce, pico de gallo and tajin chili powder.",$14,,,,,,,,
Appetizers,,Maria's Sampler,"Chicken taquitos, cheese quesadilla, nachos, lettuce, tomato, sour cream, jalapeños, cheese dip and salsa.",$15,,,,,,,,
Appetizers,,Tradicional Ceviche,"Tilapia fish cooked with lime juice, pico de gallo, topped with avocado sliced and served with crackers.",,Fish,$15,Shrimp,$17,,,,
Appetizers,,Loaded Fries,"Fries, choice of meat, pico de gallo, melted cheese and jalapeños.",,Chicken,$13,Chorizo,$13,Steak,$14,,
Appetizers,,Toros Rellenos,"Flour tortillas on a bed of lettuce stuffed with a mixture of crab, shrimp, creamy cheese and veggies, rolled and fried until crispy served with chipotle cheese for dipping.",$15,,,,,,,,
Appetizers,,Chicken Wings,"Mild, Hot, Habanero and Lemon Pepper.",,6 pcs.,$9,12 pcs.,$16,,,,
Appetizers,,Corn Ribs,"Blistered corn ribs slathered in a creamy Mexican mayo blend, topped with crumbled Cotija cheese, Tajin and cilantro.",$8,,,,,,,,
Dips,,Cheese Dip,,$6,,,,,,,,
Dips,,Bean Dip,,$8,,,,,,,,
Dips,,Guacamole Dip,,$7,,,,,,,,
Dips,,Texas Dip,"A rich blend of shrimp, steak, chicken and pico de gallo topped with cheese dip.",$15,,,,,,,,
Dips,,Trio Dip,"Bean dip, queso dip and guacamole dip.",$15,,,,,,,,
Dips,,Queso Fundido,Bowl of cheese dip with your choice of ground beef or chorizo Mexican sausage.,$10.50,,,,,,,,
Dips,,Salsa Dip,"Habanero, verde or tomatillo.",,2 oz,$2,4 oz,$4,8 oz,$7,16 oz,$12
Nachos,All nachos include cheese.,Classic Nachos,"Choice of one topping: refried beans, black beans, shredded chicken, ground beef or shredded beef.",$11,,,,,,,,
Nachos,All nachos include cheese.,Fajita Nachos,"Grilled steak, chicken or shrimp cooked with bell peppers and onions.",,Chicken,$14,Steak,$15,Shrimp,$16,,
Nachos,All nachos include cheese.,Maria's Special Nachos,"Choice of one topping: refried beans, black beans, shredded chicken, ground beef or shredded beef. With lettuce, tomato, sour cream and jalapeños.",$14,,,,,,,,
Ensaladas,,Taco Salad,"Beef or chicken with beans, cheese, lettuce, sour cream and tomato. Add Grilled Chicken +$3",$11,,,,,,,,
Ensaladas,,Cancun Salad,"Shrimp salad with salad mix, zucchini, mushrooms, squash, pico de gallo, cheese, onions, tomatoes and your choice of dressing.",$15,,,,,,,,
Ensaladas,,Maria's Chicken Salad,"Salad mix, tomatoes, onions, bell peppers and cheese, topped with strips of chicken.",$13,,,,,,,,
Ensaladas,,Avocado Salad,"Salad mix, avocado slices, tomatoes, cheese, cucumbers and red onions and your choice of dressing. Add Grilled Chicken +$3 | Add Skirt Steak +$4 | Add Grilled Shrimp +$6",$11,,,,,,,,
Ensaladas,,Dressing Options,Ranch | Balsamic Vinaigrette | Cilantro Lime Vinaigrette | Cilantro Lime Ranch,,,,,,,,,
Enchiladas,,Enchiladas,"Ground or shredded beef, shredded chicken, beans, spinach, mushroom or cheese.",,(1),$5,(3),$14,,,,
Enchiladas,,Trio Enchiladas,"Three chicken enchiladas topped with three different sauces: green sauce, mole sauce and ranchero sauce, topped with cheese, sour cream, onions and cilantro. Served with rice.",$16,,,,,,,,
Enchiladas,,Enchiladas Rancheras,"Five enchiladas. Ground beef, shredded chicken, shredded beef, beans and cheese, topped with lettuce, sour cream, cheese and pico de gallo.",$18,,,,,,,,
Enchiladas,,Enchiladas Poblanas,"Three shredded chicken enchiladas, topped with mole sauce, cheese and onions. Served with rice and salad.",$16,,,,,,,,
Enchiladas,,Enchiladas Verdes,"Three shredded chicken enchiladas topped with green sauce, served with rice and salad.",$16,,,,,,,,
Enchiladas,,Enchiladas Santa Fe,"Three corn tortillas stuffed with grilled chicken and spinach topped with poblano sauce and sour cream, served with rice.",$18,,,,,,,,
Enchiladas,,Enchiladas Vallarta,"Three enchiladas stuffed with shrimp, crabmeat, onion and tomatoes topped with crab creamy sauce. Served with rice.",$19,,,,,,,,
Burritos,,Burrito,"Choice of one filling: ground or shredded beef, chicken, beans, spinach, mushroom or cheese.",,(1),$6,(2),$11,,,,
Burritos,,Burritos Deluxe,"One chicken and bean burrito, and one beef and bean burrito topped with lettuce, sour cream and tomato.",$13,,,,,,,,
Burritos,,Cheese Steak Burritos,Two rolled flour tortillas filled with steak and beans. Topped with cheese dip and pico de gallo.,$15,,,,,,,,
Burritos,,Burritos Mexicanos,"Two burritos with your choice of one meat, cooked with onions and bell peppers. Topped with cheese dip, lettuce, sour cream and tomato.",,Chicken,$15,Steak,$16,Shrimp,$17,,
Burritos,,Mucho Grande Burrito,"Your choice of meat with grilled mushrooms, onions and tomatoes rolled in a big flour tortilla, topped with cheese dip, ranchero sauce, lettuce, pico de gallo and tomatoes.",,Chicken,$14,Steak,$15,Shrimp,$16,,
