category,category_description,item_name,item_description,price,size1,price1,size2,price2,size3,price3,size4,price4
Mezcales,,Del Maguey Vida,,,,,,,,,,
Mezcales,,Ilegal Joven,,,,,,,,,,
Mezcales,,400 Conejos,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",7 Leguas,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Casa Amigos,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Clase Azul,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Don Julio,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",El Jimador,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Espolon,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Fortaleza,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",G4,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Herradura,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Luna Azul,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Milagro,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Corralejo,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Patrón,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Sauza,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Hornitos,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Lalo,,,,,,,,,,
Blanco Silver,"The heart and passion of Mexico, only 5 states are authorized to produce it. Tequila can only be produced from the Blue Webber agave and 100% agave.",Tequila 8,,,,,,,,,,
Tequila Reposado,,7 Leguas,,,,,,,,,,
Tequila Reposado,,Casa Amigos,,,,,,,,,,
Tequila Reposado,,Clase Azul,,,,,,,,,,
Tequila Reposado,,Don Julio,,,,,,,,,,
Tequila Reposado,,El Jimador,,,,,,,,,,
Tequila Reposado,,Espolon,,,,,,,,,,
Tequila Reposado,,Fortaleza,,,,,,,,,,
Tequila Reposado,,G4,,,,,,,,,,
Tequila Reposado,,Herradura,,,,,,,,,,
Tequila Reposado,,Tesoro,,,,,,,,,,
Tequila Reposado,,Luna Azul,,,,,,,,,,
Tequila Reposado,,Milagro,,,,,,,,,,
Tequila Reposado,,Corralejo,,,,,,,,,,
Tequila Reposado,,Patrón,,,,,,,,,,
Tequila Reposado,,Sauza Hornitos,,,,,,,,,,
Tequila Reposado,,Tequila 8,,,,,,,,,,
Tequila Añejo,,7 Leguas,,,,,,,,,,
Tequila Añejo,,Casa Amigos,,,,,,,,,,
Tequila Añejo,,Clase Azul,,,,,,,,,,
Tequila Añejo,,Don Julio,,,,,,,,,,
Tequila Añejo,,El Jimador,,,,,,,,,,
Tequila Añejo,,Espolon,,,,,,,,,,
Tequila Añejo,,Fortaleza,,,,,,,,,,
Tequila Añejo,,G4,,,,,,,,,,
Tequila Añejo,,Herradura,,,,,,,,,,
Tequila Añejo,,Tesoro,,,,,,,,,,
Tequila Añejo,,Luna Azul,,,,,,,,,,
Tequila Añejo,,Milagro,,,,,,,,,,
Tequila Añejo,,Corralejo,,,,,,,,,,
Tequila Añejo,,Patrón,,,,,,,,,,
Tequila Añejo,,Sauza Hornitos,,,,,,,,,,
Tequila Añejo,,Tequila 8,,,,,,,,,,
